atc_A	atc_class_name_A	atc_B	atc_class_name_B	atc_C	atc_class_name_C	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
A10	Drugs used in diabetes	R01	Nasal preparations	V03	All other therapeutic products	25723	<100	 	0	0.701	1.06
H05	Calcium homeostasis	R05	Cough and cold preparations	V03	All other therapeutic products	25721	<100	 	0	57.445	1.611
A06	Drugs for constipation	B01	Antithrombotic agents	N04	Anti-parkinson drugs	25706	<100	 	0	5.827	3.426
A01	Stomatological preparations	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	S01	Ophthalmologicals	25704	541	0.021	0	2.24	1.672
L03	Immunostimulants	N02	Analgesics	N04	Anti-parkinson drugs	25695	202	0.0079	0	5.186	1.53
A05	Bile and liver therapy	C09	Agents acting on the renin-angiotensin system	G03	Sex hormones and modulators of the genital system	25688	520	0.0202	0	0.414	0.384
A03	Drugs for functional gastrointestinal disorders	D06	Antibiotics and chemotherapeutics for dermatological use	M01	Anti-inflammatory and antirheumatic products	25685	217	0.0084	0	2.61	1.883
D07	Corticosteroids, dermatological preparations	J02	Antimycotics for systemic use	P01	Antiprotozoals	25682	1813	0.0706	0	11.446	2.419
A03	Drugs for functional gastrointestinal disorders	H02	Corticosteroids for systemic use	N07	Other nervous system drugs	25678	151	0.0059	0	8.617	3.859
D03	Preparations for treatment of wounds and ulcers	N02	Analgesics	N03	Antiepileptics	25674	105	0.0041	0	13.422	4.283
C10	Lipid modifying agents	D01	Antifungals for dermatological use	D10	Anti-acne preparations	25670	483	0.0188	0	0.389	0.29
L02	Endocrine therapy	M03	Muscle relaxants	R03	Drugs for obstructive airway diseases	25666	114	0.0044	0	0.989	1.102
D06	Antibiotics and chemotherapeutics for dermatological use	J02	Antimycotics for systemic use	N02	Analgesics	25655	114	0.0044	0	3.144	1.471
A06	Drugs for constipation	C08	Calcium channel blockers	P01	Antiprotozoals	25645	166	0.0065	0	2.819	1.361
D10	Anti-acne preparations	M01	Anti-inflammatory and antirheumatic products	P01	Antiprotozoals	25640	684	0.0267	0	1.778	0.997
C08	Calcium channel blockers	H03	Thyroid therapy	L03	Immunostimulants	25612	488	0.0191	0	1.014	0.841
L01	Antineoplastic agents	L04	Immunosuppressants	S02	Otologicals	25605	579	0.0226	0	3.536	1.455
A02	Drugs for acid related disorders	D10	Anti-acne preparations	N04	Anti-parkinson drugs	25591	165	0.0064	0	0.734	0.495
A11	Vitamins	C10	Lipid modifying agents	D10	Anti-acne preparations	25585	511	0.02	0	0.462	0.348
C03	Diuretics	D09	Medicated dressings	M04	Antigout preparations	25583	<100	 	0	1.948	0.965
J05	Antivirals for systemic use	M04	Antigout preparations	N03	Antiepileptics	25567	253	0.0099	0	0.738	0.72
B01	Antithrombotic agents	G01	Gynecological antiinfectives and antiseptics	P01	Antiprotozoals	25559	233	0.0091	0	1.831	0.919
C01	Cardiac therapy	R05	Cough and cold preparations	V03	All other therapeutic products	25557	<100	 	0	4.508	2.196
A03	Drugs for functional gastrointestinal disorders	G04	Urologicals	P03	Ectoparasiticides, including scabicides, insecticides and repellents	25553	<100	 	0	42.598	5.189
C02	Antihypertensives	H01	Pituitary and hypothalamic hormones and analogues	N06	Psychoanaleptics	25552	7848	0.3071	0	5.405	2.495
C07	Beta blocking agents	M02	Topical products for joint and muscular pain	N07	Other nervous system drugs	25546	141	0.0055	0	2.546	1.41
C05	Vasoprotectives	H03	Thyroid therapy	L01	Antineoplastic agents	25540	368	0.0144	0	2.72	1.63
A10	Drugs used in diabetes	A11	Vitamins	V03	All other therapeutic products	25539	146	0.0057	0	5.255	1.972
A06	Drugs for constipation	A11	Vitamins	G03	Sex hormones and modulators of the genital system	25530	1742	0.0682	0	1.482	0.612
C03	Diuretics	C04	Peripheral vasodilators	S01	Ophthalmologicals	25527	<100	 	0	5.348	2.514
A02	Drugs for acid related disorders	C07	Beta blocking agents	D03	Preparations for treatment of wounds and ulcers	25521	<100	 	0	7.869	2.884
D01	Antifungals for dermatological use	J02	Antimycotics for systemic use	R05	Cough and cold preparations	25515	<100	 	0	5.125	0.944
H05	Calcium homeostasis	N04	Anti-parkinson drugs	N05	Psycholeptics	25514	142	0.0056	0	6.13	2.8
A06	Drugs for constipation	C05	Vasoprotectives	C10	Lipid modifying agents	25508	222	0.0087	0	3.109	1.296
A11	Vitamins	C03	Diuretics	V03	All other therapeutic products	25505	<100	 	0	4.355	1.634
C09	Agents acting on the renin-angiotensin system	J04	Antimycobacterials	R01	Nasal preparations	25500	194	0.0076	0	0.78	0.713
A06	Drugs for constipation	A11	Vitamins	R05	Cough and cold preparations	25498	<100	 	0	4.134	1.707
L02	Endocrine therapy	L04	Immunosuppressants	N02	Analgesics	25494	185	0.0073	0	1.218	1.047
A02	Drugs for acid related disorders	C04	Peripheral vasodilators	R01	Nasal preparations	25493	<100	 	0	3.876	1.715
D06	Antibiotics and chemotherapeutics for dermatological use	M04	Antigout preparations	R03	Drugs for obstructive airway diseases	25490	<100	 	0	1.024	1.156
C01	Cardiac therapy	D06	Antibiotics and chemotherapeutics for dermatological use	G03	Sex hormones and modulators of the genital system	25481	309	0.0121	0	0.314	0.38
C03	Diuretics	D11	Other dermatological preparations	P01	Antiprotozoals	25467	158	0.0062	0	1.269	0.985
A12	Mineral supplements	B01	Antithrombotic agents	C01	Cardiac therapy	25462	<100	 	0	18.211	2.099
A12	Mineral supplements	C10	Lipid modifying agents	H02	Corticosteroids for systemic use	25462	175	0.0069	0	2.003	1.27
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	H04	Pancreatic hormones	25451	<100	 	0	2.319	1.668
A04	Antiemetics and antinauseants	D10	Anti-acne preparations	N05	Psycholeptics	25444	227	0.0089	0	1.642	0.862
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C08	Calcium channel blockers	D10	Anti-acne preparations	25440	<100	 	0	0.507	0.53
D07	Corticosteroids, dermatological preparations	H05	Calcium homeostasis	R03	Drugs for obstructive airway diseases	25440	252	0.0099	0	3.025	1.742
A04	Antiemetics and antinauseants	L01	Antineoplastic agents	S01	Ophthalmologicals	25437	108	0.0042	0	5.036	2.419
C01	Cardiac therapy	H02	Corticosteroids for systemic use	H05	Calcium homeostasis	25431	<100	 	0	12.259	3.086
D11	Other dermatological preparations	N04	Anti-parkinson drugs	R03	Drugs for obstructive airway diseases	25430	155	0.0061	0	2.344	1.335
H01	Pituitary and hypothalamic hormones and analogues	N06	Psychoanaleptics	R06	Antihistamines for systemic use	25428	2324	0.0914	0	1.082	1.266
C02	Antihypertensives	L04	Immunosuppressants	S01	Ophthalmologicals	25425	100	0.0039	0	2.994	2.017
D10	Anti-acne preparations	R06	Antihistamines for systemic use	S02	Otologicals	25425	498	0.0196	0	1.288	0.838
C01	Cardiac therapy	C10	Lipid modifying agents	N01	Anesthetics	25419	<100	 	0	3.974	2.028
D03	Preparations for treatment of wounds and ulcers	N05	Psycholeptics	N06	Psychoanaleptics	25417	216	0.0085	0	4.099	2.158
A03	Drugs for functional gastrointestinal disorders	D06	Antibiotics and chemotherapeutics for dermatological use	G04	Urologicals	25416	152	0.006	0	2.789	1.946
A04	Antiemetics and antinauseants	C01	Cardiac therapy	H02	Corticosteroids for systemic use	25415	<100	 	0	3.633	1.878
C10	Lipid modifying agents	J04	Antimycobacterials	R03	Drugs for obstructive airway diseases	25415	166	0.0065	0	0.548	0.783
A01	Stomatological preparations	M02	Topical products for joint and muscular pain	N02	Analgesics	25415	339	0.0133	0	1.519	0.755
B01	Antithrombotic agents	L02	Endocrine therapy	R06	Antihistamines for systemic use	25410	146	0.0057	0	1.382	1.065
C07	Beta blocking agents	D11	Other dermatological preparations	P01	Antiprotozoals	25409	171	0.0067	0	1.724	0.886
N05	Psycholeptics	P03	Ectoparasiticides, including scabicides, insecticides and repellents	R05	Cough and cold preparations	25404	<100	 	0	2.553	1.486
A04	Antiemetics and antinauseants	L04	Immunosuppressants	P01	Antiprotozoals	25403	269	0.0106	0	13.747	2.154
A03	Drugs for functional gastrointestinal disorders	N01	Anesthetics	S01	Ophthalmologicals	25400	338	0.0133	0	55.907	2.7
C03	Diuretics	H05	Calcium homeostasis	S02	Otologicals	25396	<100	 	0	2.693	1.646
C02	Antihypertensives	G01	Gynecological antiinfectives and antiseptics	G04	Urologicals	25395	170	0.0067	0	2.053	1.038
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	L02	Endocrine therapy	R05	Cough and cold preparations	25395	<100	 	0	1.407	1.235
C03	Diuretics	D08	Antiseptics and disinfectants	N02	Analgesics	25383	<100	 	0	2.584	1.684
H02	Corticosteroids for systemic use	J04	Antimycobacterials	N05	Psycholeptics	25381	251	0.0099	0	3.239	1.796
G04	Urologicals	J01	Antibacterials for systemic use	V03	All other therapeutic products	25378	<100	 	0	0.977	1.042
A01	Stomatological preparations	C07	Beta blocking agents	P01	Antiprotozoals	25367	566	0.0223	0	1.211	0.74
A05	Bile and liver therapy	B01	Antithrombotic agents	N06	Psychoanaleptics	25362	123	0.0048	0	1.774	1.159
A06	Drugs for constipation	M02	Topical products for joint and muscular pain	R05	Cough and cold preparations	25360	<100	 	0	4.253	2.094
A01	Stomatological preparations	C01	Cardiac therapy	N06	Psychoanaleptics	25358	317	0.0125	0	0.338	0.431
A01	Stomatological preparations	N03	Antiepileptics	P01	Antiprotozoals	25356	480	0.0189	0	2.331	1.424
C01	Cardiac therapy	D01	Antifungals for dermatological use	R06	Antihistamines for systemic use	25353	<100	 	0	1.331	0.882
A06	Drugs for constipation	M02	Topical products for joint and muscular pain	M03	Muscle relaxants	25351	346	0.0136	0	11.018	2.393
D09	Medicated dressings	G04	Urologicals	R01	Nasal preparations	25349	351	0.0138	0	1.537	1.488
H02	Corticosteroids for systemic use	N01	Anesthetics	N06	Psychoanaleptics	25342	145	0.0057	0	2.533	1.302
A06	Drugs for constipation	H02	Corticosteroids for systemic use	S02	Otologicals	25341	467	0.0184	0	4.856	2.224
B01	Antithrombotic agents	M02	Topical products for joint and muscular pain	S02	Otologicals	25340	<100	 	0	2.154	1.757
H05	Calcium homeostasis	M05	Drugs for treatment of bone diseases	N05	Psycholeptics	25337	394	0.0156	0	4.031	1.43
A02	Drugs for acid related disorders	A06	Drugs for constipation	D11	Other dermatological preparations	25331	291	0.0115	0	4.451	2.201
C03	Diuretics	D01	Antifungals for dermatological use	N07	Other nervous system drugs	25330	135	0.0053	0	1.502	1.158
D01	Antifungals for dermatological use	N04	Anti-parkinson drugs	R06	Antihistamines for systemic use	25315	<100	 	0	2.29	1.517
N04	Anti-parkinson drugs	N07	Other nervous system drugs	R01	Nasal preparations	25310	100	0.004	0	3.296	1.687
H02	Corticosteroids for systemic use	N01	Anesthetics	N05	Psycholeptics	25302	<100	 	0	5.671	2.798
A03	Drugs for functional gastrointestinal disorders	C08	Calcium channel blockers	H05	Calcium homeostasis	25294	<100	 	0	9.122	3.175
C01	Cardiac therapy	C04	Peripheral vasodilators	N06	Psychoanaleptics	25293	<100	 	0	5.886	1.05
A06	Drugs for constipation	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	S02	Otologicals	25291	284	0.0112	0	6.588	2.874
H05	Calcium homeostasis	N02	Analgesics	S02	Otologicals	25291	<100	 	0	3.539	2.139
C08	Calcium channel blockers	N01	Anesthetics	R05	Cough and cold preparations	25288	<100	 	0	3.192	1.624
A04	Antiemetics and antinauseants	A10	Drugs used in diabetes	P01	Antiprotozoals	25276	132	0.0052	0	1.479	0.542
C01	Cardiac therapy	C02	Antihypertensives	V03	All other therapeutic products	25272	<100	 	0	36.613	7.75
D01	Antifungals for dermatological use	H02	Corticosteroids for systemic use	M02	Topical products for joint and muscular pain	25256	344	0.0136	0	4.298	2.186
A08	Antiobesity preparations, excluding diet products	N06	Psychoanaleptics	S01	Ophthalmologicals	25252	518	0.0205	0	0.928	0.967
G04	Urologicals	H01	Pituitary and hypothalamic hormones and analogues	N05	Psycholeptics	25251	491	0.0194	0	2.306	1.737
D10	Anti-acne preparations	J04	Antimycobacterials	L01	Antineoplastic agents	25251	1589	0.0629	0	58.425	6.338
A02	Drugs for acid related disorders	D08	Antiseptics and disinfectants	N06	Psychoanaleptics	25246	<100	 	0	2.014	1.308
A11	Vitamins	H02	Corticosteroids for systemic use	N04	Anti-parkinson drugs	25246	147	0.0058	0	3.761	2.249
N05	Psycholeptics	R02	Throat preparations	R05	Cough and cold preparations	25243	<100	 	0	1.615	0.941
A05	Bile and liver therapy	C03	Diuretics	G03	Sex hormones and modulators of the genital system	25236	517	0.0205	0	0.497	0.413
G03	Sex hormones and modulators of the genital system	L03	Immunostimulants	R01	Nasal preparations	25233	1277	0.0506	0	0.566	0.798
D04	Antipruritics, including antihistamines, anesthetics, etc.	R01	Nasal preparations	R06	Antihistamines for systemic use	25227	<100	 	0	21.4	1.971
A02	Drugs for acid related disorders	C05	Vasoprotectives	D06	Antibiotics and chemotherapeutics for dermatological use	25224	281	0.0111	0	3.103	1.933
A08	Antiobesity preparations, excluding diet products	D07	Corticosteroids, dermatological preparations	N06	Psychoanaleptics	25218	875	0.0347	0	1.009	1.051
C10	Lipid modifying agents	N06	Psychoanaleptics	R02	Throat preparations	25208	<100	 	0	0.22	0.315
A03	Drugs for functional gastrointestinal disorders	A10	Drugs used in diabetes	C05	Vasoprotectives	25205	<100	 	0	2.433	0.938
A12	Mineral supplements	C07	Beta blocking agents	S01	Ophthalmologicals	25205	428	0.017	0	3.53	2
D09	Medicated dressings	H02	Corticosteroids for systemic use	R03	Drugs for obstructive airway diseases	25204	233	0.0092	0	1.773	0.938
G01	Gynecological antiinfectives and antiseptics	M02	Topical products for joint and muscular pain	S01	Ophthalmologicals	25204	180	0.0071	0	2.703	1.869
A01	Stomatological preparations	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C07	Beta blocking agents	25203	142	0.0056	0	0.598	0.56
A02	Drugs for acid related disorders	C03	Diuretics	H01	Pituitary and hypothalamic hormones and analogues	25198	100	0.004	0	0.601	0.463
A02	Drugs for acid related disorders	D03	Preparations for treatment of wounds and ulcers	N06	Psychoanaleptics	25195	<100	 	0	3.935	1.799
A03	Drugs for functional gastrointestinal disorders	M03	Muscle relaxants	M04	Antigout preparations	25195	<100	 	0	3.076	1.247
C07	Beta blocking agents	J01	Antibacterials for systemic use	P03	Ectoparasiticides, including scabicides, insecticides and repellents	25183	136	0.0054	0	1.057	0.797
C02	Antihypertensives	C09	Agents acting on the renin-angiotensin system	J02	Antimycotics for systemic use	25176	145	0.0058	0	2.214	1.158
G01	Gynecological antiinfectives and antiseptics	L02	Endocrine therapy	N05	Psycholeptics	25169	498	0.0198	0	1.307	1.136
C09	Agents acting on the renin-angiotensin system	D01	Antifungals for dermatological use	D10	Anti-acne preparations	25166	266	0.0106	0	0.435	0.325
A02	Drugs for acid related disorders	A05	Bile and liver therapy	M05	Drugs for treatment of bone diseases	25164	524	0.0208	0	8.136	2.892
C04	Peripheral vasodilators	C09	Agents acting on the renin-angiotensin system	M01	Anti-inflammatory and antirheumatic products	25159	159	0.0063	0	2.957	1.437
A04	Antiemetics and antinauseants	D06	Antibiotics and chemotherapeutics for dermatological use	G03	Sex hormones and modulators of the genital system	25152	672	0.0267	0	1.165	0.717
C08	Calcium channel blockers	D01	Antifungals for dermatological use	M02	Topical products for joint and muscular pain	25144	174	0.0069	0	1.589	1.138
A02	Drugs for acid related disorders	D11	Other dermatological preparations	J05	Antivirals for systemic use	25137	835	0.0332	0	1.14	0.726
A03	Drugs for functional gastrointestinal disorders	A06	Drugs for constipation	P01	Antiprotozoals	25135	446	0.0177	0	22.571	4.602
B01	Antithrombotic agents	C05	Vasoprotectives	M01	Anti-inflammatory and antirheumatic products	25131	<100	 	0	1.841	0.849
D06	Antibiotics and chemotherapeutics for dermatological use	D11	Other dermatological preparations	N06	Psychoanaleptics	25129	839	0.0334	0	0.981	0.879
G04	Urologicals	L03	Immunostimulants	M05	Drugs for treatment of bone diseases	25128	828	0.033	0	9.441	4.134
D01	Antifungals for dermatological use	G03	Sex hormones and modulators of the genital system	N07	Other nervous system drugs	25127	683	0.0272	0	1.251	0.965
A03	Drugs for functional gastrointestinal disorders	A04	Antiemetics and antinauseants	L04	Immunosuppressants	25121	119	0.0047	0	15.064	1.742
D07	Corticosteroids, dermatological preparations	H05	Calcium homeostasis	J01	Antibacterials for systemic use	25121	347	0.0138	0	1.704	1.301
A12	Mineral supplements	J01	Antibacterials for systemic use	N03	Antiepileptics	25120	129	0.0051	0	1.505	1.051
A02	Drugs for acid related disorders	C05	Vasoprotectives	J05	Antivirals for systemic use	25114	405	0.0161	0	1.652	1.103
A01	Stomatological preparations	D06	Antibiotics and chemotherapeutics for dermatological use	H02	Corticosteroids for systemic use	25113	478	0.019	0	5.35	0.93
A03	Drugs for functional gastrointestinal disorders	C10	Lipid modifying agents	P03	Ectoparasiticides, including scabicides, insecticides and repellents	25101	<100	 	0	8.08	0.984
C02	Antihypertensives	H03	Thyroid therapy	H05	Calcium homeostasis	25100	<100	 	0	9.782	1.657
G01	Gynecological antiinfectives and antiseptics	J05	Antivirals for systemic use	M03	Muscle relaxants	25093	207	0.0082	0	1.536	1.614
D11	Other dermatological preparations	H02	Corticosteroids for systemic use	M04	Antigout preparations	25092	144	0.0057	0	5.157	1.758
D01	Antifungals for dermatological use	D10	Anti-acne preparations	N03	Antiepileptics	25090	316	0.0126	0	1.391	1.039
C10	Lipid modifying agents	D10	Anti-acne preparations	N04	Anti-parkinson drugs	25089	200	0.008	0	0.344	0.354
C05	Vasoprotectives	G01	Gynecological antiinfectives and antiseptics	N03	Antiepileptics	25088	210	0.0084	0	3.354	1.368
A08	Antiobesity preparations, excluding diet products	C07	Beta blocking agents	J01	Antibacterials for systemic use	25075	496	0.0198	0	0.404	0.605
C07	Beta blocking agents	G01	Gynecological antiinfectives and antiseptics	N07	Other nervous system drugs	25072	104	0.0041	0	1.364	1.127
D06	Antibiotics and chemotherapeutics for dermatological use	G03	Sex hormones and modulators of the genital system	N04	Anti-parkinson drugs	25063	581	0.0232	0	0.533	0.691
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	A11	Vitamins	L01	Antineoplastic agents	25059	723	0.0289	0	4.357	2.331
A04	Antiemetics and antinauseants	G01	Gynecological antiinfectives and antiseptics	H03	Thyroid therapy	25057	384	0.0153	0	1.553	1.124
A05	Bile and liver therapy	B01	Antithrombotic agents	N02	Analgesics	25054	<100	 	0	3.352	2.19
G01	Gynecological antiinfectives and antiseptics	J01	Antibacterials for systemic use	L02	Endocrine therapy	25051	845	0.0337	0	0.935	0.764
N01	Anesthetics	R05	Cough and cold preparations	R06	Antihistamines for systemic use	25051	<100	 	0	6.165	1.976
D01	Antifungals for dermatological use	D10	Anti-acne preparations	H03	Thyroid therapy	25049	827	0.033	0	0.958	0.716
A06	Drugs for constipation	G01	Gynecological antiinfectives and antiseptics	H03	Thyroid therapy	25049	424	0.0169	0	1.768	1.366
L02	Endocrine therapy	N02	Analgesics	P01	Antiprotozoals	25049	172	0.0069	0	1.572	1.214
B01	Antithrombotic agents	M02	Topical products for joint and muscular pain	N04	Anti-parkinson drugs	25047	<100	 	0	3.117	1.846
C05	Vasoprotectives	H02	Corticosteroids for systemic use	J02	Antimycotics for systemic use	25044	2448	0.0977	0	33.694	4.71
J05	Antivirals for systemic use	M05	Drugs for treatment of bone diseases	S01	Ophthalmologicals	25044	537	0.0214	0	1.124	0.699
C01	Cardiac therapy	D01	Antifungals for dermatological use	D07	Corticosteroids, dermatological preparations	25043	100	0.004	0	1.849	0.837
C10	Lipid modifying agents	J04	Antimycobacterials	N03	Antiepileptics	25036	154	0.0062	0	0.725	0.8
H03	Thyroid therapy	L03	Immunostimulants	R05	Cough and cold preparations	25027	<100	 	0	1.17	1.173
A03	Drugs for functional gastrointestinal disorders	C05	Vasoprotectives	R03	Drugs for obstructive airway diseases	25018	<100	 	0	3.91	1.507
A06	Drugs for constipation	B06	Other hematological agents	C03	Diuretics	25017	136	0.0054	0	401.694	2.108
J05	Antivirals for systemic use	L03	Immunostimulants	R05	Cough and cold preparations	25016	<100	 	0	5.749	1.42
L03	Immunostimulants	M03	Muscle relaxants	R06	Antihistamines for systemic use	25008	200	0.008	0	6.488	1.423
C05	Vasoprotectives	G01	Gynecological antiinfectives and antiseptics	R03	Drugs for obstructive airway diseases	25006	265	0.0106	0	2.487	1.015
A02	Drugs for acid related disorders	G01	Gynecological antiinfectives and antiseptics	L02	Endocrine therapy	25003	328	0.0131	0	1.257	1.071
A08	Antiobesity preparations, excluding diet products	G04	Urologicals	N02	Analgesics	25003	190	0.0076	0	1.301	1.185
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	N06	Psychoanaleptics	R02	Throat preparations	25003	<100	 	0	2.212	0.459
A01	Stomatological preparations	B01	Antithrombotic agents	J01	Antibacterials for systemic use	24990	228	0.0091	0	0.288	0.465
A12	Mineral supplements	N02	Analgesics	R06	Antihistamines for systemic use	24988	172	0.0069	0	2.623	2.144
A11	Vitamins	C10	Lipid modifying agents	J02	Antimycotics for systemic use	24985	508	0.0203	0	1.828	1.376
G03	Sex hormones and modulators of the genital system	N06	Psychoanaleptics	R02	Throat preparations	24981	<100	 	0	0.255	0.554
A01	Stomatological preparations	A02	Drugs for acid related disorders	M02	Topical products for joint and muscular pain	24979	606	0.0243	0	1.696	0.745
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	R02	Throat preparations	R05	Cough and cold preparations	24976	<100	 	0	7.511	1.56
A06	Drugs for constipation	C07	Beta blocking agents	M02	Topical products for joint and muscular pain	24975	157	0.0063	0	2.432	1.599
A03	Drugs for functional gastrointestinal disorders	G03	Sex hormones and modulators of the genital system	M04	Antigout preparations	24975	<100	 	0	0.421	0.388
A01	Stomatological preparations	C02	Antihypertensives	N06	Psychoanaleptics	24970	4459	0.1786	0	0.794	0.79
C10	Lipid modifying agents	D08	Antiseptics and disinfectants	H03	Thyroid therapy	24946	181	0.0073	0	2.495	1.526
A01	Stomatological preparations	H02	Corticosteroids for systemic use	L01	Antineoplastic agents	24941	1260	0.0505	0	3.809	0.989
C07	Beta blocking agents	H03	Thyroid therapy	J04	Antimycobacterials	24941	313	0.0125	0	0.948	0.722
A03	Drugs for functional gastrointestinal disorders	A11	Vitamins	S01	Ophthalmologicals	24939	<100	 	0	4.064	2.459
M02	Topical products for joint and muscular pain	N04	Anti-parkinson drugs	S01	Ophthalmologicals	24939	103	0.0041	0	3.597	2.377
D07	Corticosteroids, dermatological preparations	J01	Antibacterials for systemic use	N01	Anesthetics	24936	<100	 	0	4.096	1.748
D11	Other dermatological preparations	J01	Antibacterials for systemic use	L04	Immunosuppressants	24932	452	0.0181	0	1.052	1.115
D07	Corticosteroids, dermatological preparations	H02	Corticosteroids for systemic use	L02	Endocrine therapy	24931	609	0.0244	0	2.361	1.269
J02	Antimycotics for systemic use	J05	Antivirals for systemic use	L04	Immunosuppressants	24927	183	0.0073	0	13.796	7.779
G01	Gynecological antiinfectives and antiseptics	N01	Anesthetics	S01	Ophthalmologicals	24921	1125	0.0451	0	34.909	1.686
A02	Drugs for acid related disorders	C03	Diuretics	D03	Preparations for treatment of wounds and ulcers	24919	<100	 	0	5.64	2.579
H03	Thyroid therapy	J02	Antimycotics for systemic use	M03	Muscle relaxants	24912	197	0.0079	0	1.529	1.37
C05	Vasoprotectives	G03	Sex hormones and modulators of the genital system	J05	Antivirals for systemic use	24904	1625	0.0653	0	0.918	0.953
C05	Vasoprotectives	C07	Beta blocking agents	D05	Antipsoriatics	24902	179	0.0072	0	11.355	2.048
D05	Antipsoriatics	L01	Antineoplastic agents	N06	Psychoanaleptics	24902	294	0.0118	0	1.522	1.094
C08	Calcium channel blockers	D10	Anti-acne preparations	M03	Muscle relaxants	24896	<100	 	0	0.414	0.385
C08	Calcium channel blockers	C09	Agents acting on the renin-angiotensin system	P03	Ectoparasiticides, including scabicides, insecticides and repellents	24892	717	0.0288	0	1.12	0.415
A04	Antiemetics and antinauseants	M05	Drugs for treatment of bone diseases	R05	Cough and cold preparations	24887	<100	 	0	1.78	0.609
A04	Antiemetics and antinauseants	L03	Immunostimulants	N02	Analgesics	24885	180	0.0072	0	10.945	2.776
G04	Urologicals	L03	Immunostimulants	N07	Other nervous system drugs	24885	1014	0.0407	0	35.869	5.584
A11	Vitamins	C02	Antihypertensives	R01	Nasal preparations	24884	<100	 	0	2.331	1.325
D06	Antibiotics and chemotherapeutics for dermatological use	J05	Antivirals for systemic use	P01	Antiprotozoals	24880	1819	0.0731	0	5.909	2.53
C09	Agents acting on the renin-angiotensin system	G04	Urologicals	H01	Pituitary and hypothalamic hormones and analogues	24868	205	0.0082	0	1.2	0.791
C05	Vasoprotectives	H03	Thyroid therapy	S02	Otologicals	24868	270	0.0109	0	2.106	1.523
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C05	Vasoprotectives	D06	Antibiotics and chemotherapeutics for dermatological use	24867	109	0.0044	0	14.849	1.58
A06	Drugs for constipation	J05	Antivirals for systemic use	N03	Antiepileptics	24867	331	0.0133	0	2.191	1.294
A05	Bile and liver therapy	H02	Corticosteroids for systemic use	N05	Psycholeptics	24862	208	0.0084	0	4.828	1.878
D04	Antipruritics, including antihistamines, anesthetics, etc.	J01	Antibacterials for systemic use	N06	Psychoanaleptics	24858	630	0.0253	0	1.723	0.48
C01	Cardiac therapy	J01	Antibacterials for systemic use	V03	All other therapeutic products	24857	<100	 	0	2.08	1.014
D07	Corticosteroids, dermatological preparations	M05	Drugs for treatment of bone diseases	N04	Anti-parkinson drugs	24855	208	0.0084	0	1.896	1.37
D07	Corticosteroids, dermatological preparations	L02	Endocrine therapy	S01	Ophthalmologicals	24853	489	0.0197	0	2.203	1.389
A11	Vitamins	C01	Cardiac therapy	L04	Immunosuppressants	24851	175	0.007	0	4.476	1.743
A10	Drugs used in diabetes	D11	Other dermatological preparations	L04	Immunosuppressants	24850	133	0.0054	0	1.135	1.155
A02	Drugs for acid related disorders	C09	Agents acting on the renin-angiotensin system	P03	Ectoparasiticides, including scabicides, insecticides and repellents	24838	221	0.0089	0	0.843	0.606
D05	Antipsoriatics	D07	Corticosteroids, dermatological preparations	L01	Antineoplastic agents	24836	1377	0.0554	0	11.995	1.581
A12	Mineral supplements	C07	Beta blocking agents	M01	Anti-inflammatory and antirheumatic products	24835	242	0.0097	0	2.386	1.352
J05	Antivirals for systemic use	N04	Anti-parkinson drugs	R03	Drugs for obstructive airway diseases	24830	397	0.016	0	0.656	0.841
C08	Calcium channel blockers	J01	Antibacterials for systemic use	L03	Immunostimulants	24821	295	0.0119	0	0.605	0.825
J05	Antivirals for systemic use	L02	Endocrine therapy	N05	Psycholeptics	24817	1040	0.0419	0	1.11	0.965
C05	Vasoprotectives	G03	Sex hormones and modulators of the genital system	M05	Drugs for treatment of bone diseases	24810	909	0.0366	0	0.945	0.705
A11	Vitamins	B01	Antithrombotic agents	D05	Antipsoriatics	24809	<100	 	0	14.579	4.312
B03	Antianemic preparations	C07	Beta blocking agents	C09	Agents acting on the renin-angiotensin system	24806	<100	 	0	7.331	2.21
A04	Antiemetics and antinauseants	C07	Beta blocking agents	D06	Antibiotics and chemotherapeutics for dermatological use	24799	<100	 	0	1.863	1.148
C09	Agents acting on the renin-angiotensin system	D01	Antifungals for dermatological use	N07	Other nervous system drugs	24797	163	0.0066	0	1.202	0.927
A01	Stomatological preparations	P01	Antiprotozoals	R03	Drugs for obstructive airway diseases	24797	767	0.0309	0	1.696	1.036
J04	Antimycobacterials	N05	Psycholeptics	R03	Drugs for obstructive airway diseases	24796	169	0.0068	0	1.154	1.492
