drug_concept_name	rxcui	atc	atc_class_name	drug_cost_per_day	UMLS_CUI	DrugBankID
pentostatin	8011	L01XX08	Antineoplastic agents	184.74	C0030896	DB00552
pentoxifylline	8013	C04AD03	Peripheral vasodilators	0.63	C0030899	DB00806
pergolide	8047	N04BC02	Anti-parkinson drugs	4.09	C0031007	DB01186
perhexiline	8050	C08EX02	Calcium channel blockers	NA	C0031013	DB01074
perindopril	54552	C09AA04	Agents acting on the renin-angiotensin system	1.7	C0136123	DB00790
permethrin	33199	P03AC04	Ectoparasiticides, including scabicides, insecticides and repellents	17.19	C0070455	DB04930
perphenazine	8076	N05AB03	Psycholeptics	1.2	C0031184	DB00850
phenacemide	33253	N03AX07	Antiepileptics	3.8	C0070525	DB01121
phenacetin	8113	N02BE03	Analgesics	NA	C0031364	NA
phenazopyridine	8120	G04BX06	Urologicals	1.23	C0031379	DB01438
phendimetrazine	33272	NA	NA	0.69	C0070549	DB01579
phenelzine	8123	N06AF03	Psychoanaleptics	2.58	C0031392	DB00780
phenformin	8129	A10BA01	Drugs used in diabetes	NA	C0031404	DB00914
phenindamine	33283	R06AX04	Antihistamines for systemic use	NA	C0070563	DB01619
phenindione	8130	B01AA02	Antithrombotic agents	1.07	C0031406	DB00498
pheniramine	8132	R06AB05	Antihistamines for systemic use	0.48	C0031408	DB01620
phenobarbital	8134	N03AA02	Antiepileptics	0.23	C0031412	DB01174
phenol	33290	C05BB05	Vasoprotectives	19.36	C0070570	DB03255
phenolphthalein	155122	A06AB04	Drugs for constipation	3.37	C0600489	NA
phenoxybenzamine	8149	C04AX02	Peripheral vasodilators	24.51	C0031441	DB00925
phenprocoumon	8150	B01AA04	Antithrombotic agents	NA	C0031444	DB00946
phensuximide	33309	N03AD02	Antiepileptics	NA	C0070592	DB00832
phentermine	8152	A08AA01	Antiobesity preparations, excluding diet products	0.72	C0031447	DB00191
phentolamine	8153	V03AB36	All other therapeutic products	15.77	C0031448	DB00692
phenylbutazone	8160	M01AA01	Anti-inflammatory and antirheumatic products	2.79	C0031463	DB00812
phenylephrine	8163	S01GA05	Ophthalmologicals	2.02	C0031469	DB00388
phenylpropanolamine	8175	R01BA01	Nasal preparations	1.35	C0031495	DB00397
phenyltoloxamine	33408	NA	NA	2.03	C0070709	NA
phenytoin	8183	N03AB02	Antiepileptics	1.03	C0031507	DB00252
physostigmine	8299	S01EB05	Ophthalmologicals	2.48	C0031849	DB00981
phytosterols	8310	NA	NA	NA	C0031866	NA
picosulfate sodium	33688	A06AB08	Drugs for constipation	NA	C0071042	NA
pilocarpine	8328	N07AX01	Other nervous system drugs	1.65	C0031923	DB01085
pimecrolimus	321952	D11AH02	Other dermatological preparations	9.4	C1099414	DB00337
pimozide	8331	N05AG02	Psycholeptics	2.91	C0031935	DB01100
pindolol	8332	C07AA03	Beta blocking agents	0.8	C0031937	DB00960
pioglitazone	33738	A10BG03	Drugs used in diabetes	5.86	C0071097	DB01132
piperacillin	8339	J01CA12	Antibacterials for systemic use	67.85	C0031955	DB00319
piperazine	8340	P02CB01	Anthelmintics	NA	C0031957	DB00592
pipobroman	8347	L01AX02	Antineoplastic agents	NA	C0031965	DB00236
pirbuterol	33767	R03AC08	Drugs for obstructive airway diseases	4.47	C0071129	DB01291
pirenzepine	8352	A02BX03	Drugs for acid related disorders	NA	C0031978	DB00670
piretanide	33770	C03CA03	Diuretics	NA	C0071132	NA
piroxicam	8356	S01BC06	Ophthalmologicals	0.87	C0031990	DB00554
pitavastatin	861634	C10AA08	Lipid modifying agents	4.19	C1101838	DB08860
pivampicillin	8372	J01CA02	Antibacterials for systemic use	NA	C0032032	DB01604
plerixafor	733003	L03AX16	Immunostimulants	5907.73	C1955474	DB06809
plicamycin	6995	L01DC02	Antineoplastic agents	NA	C0026234	DB06810
podofilox	8463	D06BB04	Antibiotics and chemotherapeutics for dermatological use	15.59	C0032334	DB01179
polymyxin b	8536	A07AA05	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	1.58	C0032535	NA
polythiazide	8565	C03AA05	Diuretics	1.13	C0032613	DB01324
posaconazole	282446	J02AC04	Antimycotics for systemic use	125.85	C0936148	DB01263
potassium citrate	54993	A12BA02	Mineral supplements	1.96	C0137996	DB09125
practolol	8620	C07AB01	Beta blocking agents	NA	C0032896	DB01297
pralidoxime	34345	V03AB04	All other therapeutic products	NA	C0071808	DB00733
pramipexole	746741	N04BC05	Anti-parkinson drugs	2.8	C0074710	DB00413
pramlintide	139953	A10BX05	Drugs used in diabetes	16.26	C0537551	DB01278
pramoxine	34347	C05AD07	Vasoprotectives	5.66	C0071810	DB09345
prasugrel	613391	B01AC22	Antithrombotic agents	6.82	C1620287	DB06209
pravastatin	42463	C10AA03	Lipid modifying agents	0.54	C0085542	DB00175
prazepam	8627	N05BA11	Psycholeptics	NA	C0032910	DB01588
praziquantel	8628	P02BA01	Anthelmintics	37.72	C0032911	DB01058
prazosin	8629	C02CA01	Antihypertensives	0.42	C0032912	DB00457
prednicarbate	34369	D07AC18	Corticosteroids, dermatological preparations	2.71	C0071836	DB01130
prednisolone	8638	S02BA03	Otologicals	2.09	C0032950	DB00860
prednisone	8640	H02AB07	Corticosteroids for systemic use	0.32	C0032952	DB00635
pregabalin	187832	N03AX16	Antiepileptics	6.11	C0657912	DB00230
prenylamine	8674	C01DX02	Cardiac therapy	NA	C0033059	NA
prilocaine	8686	N01BB04	Anesthetics	3.48	C0033124	DB00750
primaquine	8687	P01BA03	Antiprotozoals	1.88	C0033126	DB01087
primidone	8691	N03AA03	Antiepileptics	1.01	C0033148	DB00794
probenecid	8698	M04AB01	Antigout preparations	0.92	C0033209	DB01032
probucol	8699	C10AX02	Lipid modifying agents	NA	C0033215	DB01599
procainamide	8700	C01BA02	Cardiac therapy	2.87	C0033216	DB01035
procaine	8701	S01HA05	Ophthalmologicals	19.46	C0033218	DB00721
procarbazine	8702	L01XB01	Antineoplastic agents	113.05	C0033223	DB01168
procaterol	34530	R03AC16	Drugs for obstructive airway diseases	NA	C0072032	DB01366
prochlorperazine	8704	N05AB04	Psycholeptics	1.38	C0033229	DB00433
procyclidine	8718	N04AA04	Anti-parkinson drugs	1.84	C0033254	DB00387
progabide	34568	N03AG05	Antiepileptics	NA	C0072076	DB00837
progesterone	8727	G03DA04	Sex hormones and modulators of the genital system	3.2	C0033308	DB00396
proguanil	2382	P01BB01	Antiprotozoals	5.97	C0008241	DB01131
promazine	8742	N05AA03	Psycholeptics	4	C0033399	DB00420
promethazine	8745	R06AD02	Antihistamines for systemic use	1.67	C0033405	DB01069
propafenone	8754	C01BC03	Cardiac therapy	5.51	C0033429	DB01182
propantheline	8761	A03AB05	Drugs for functional gastrointestinal disorders	1.34	C0033447	DB00782
propiomazine	8770	N05CM06	Psycholeptics	NA	C0033473	DB00777
propofol	8782	N01AX10	Anesthetics	12.47	C0033487	DB00818
propranolol	8787	C07AA05	Beta blocking agents	0.79	C0033497	DB00571
propylthiouracil	8794	H03BA02	Thyroid therapy	0.57	C0033511	DB00550
protriptyline	8886	N06AA11	Psychoanaleptics	4.68	C0033743	DB00344
pseudoephedrine	8896	R01BA02	Nasal preparations	2.2	C0033798	DB00852
pyrazinamide	8987	J04AK01	Antimycobacterials	2.58	C0034239	DB00339
pyridostigmine	9000	N07AA02	Other nervous system drugs	2.47	C0034261	DB00545
pyrilamine	9009	D04AA02	Antipruritics, including antihistamines, anesthetics, etc.	3.4	C0034282	DB06691
pyrimethamine	9010	P01BD01	Antiprotozoals	9.03	C0034283	DB00205
quazepam	35185	N05CD10	Psycholeptics	4.25	C0072828	DB01589
quetiapine	51272	N05AH04	Psycholeptics	7.02	C0123091	DB01224
quinapril	35208	C09AA06	Agents acting on the renin-angiotensin system	0.67	C0072857	DB00881
quinethazone	59743	C03BA02	Diuretics	NA	C0164608	DB01325
quinidine	9068	C01BA01	Cardiac therapy	9.03	C0034414	DB00908
quinine	9071	P01BC01	Antiprotozoals	4.14	C0034417	DB00468
rabeprazole	114979	A02BC04	Drugs for acid related disorders	6.73	C0378482	DB01129
raloxifene	72143	G03XC01	Sex hormones and modulators of the genital system	3.76	C0244404	DB00481
raltegravir	719872	J05AX08	Antivirals for systemic use	32.14	C1871526	DB06817
raltitrexed	196239	L01BA03	Antineoplastic agents	NA	C0677667	DB00293
ramelteon	596205	N05CH02	Psycholeptics	3.92	C1565316	DB00980
ramipril	35296	C09AA05	Agents acting on the renin-angiotensin system	0.91	C0072973	DB00178
ranibizumab	595060	S01LA04	Ophthalmologicals	86.98	C1566537	DB01270
ranitidine	9143	A02BA02	Drugs for acid related disorders	0.52	C0034665	DB00863
ranolazine	35829	C01EB18	Cardiac therapy	8.14	C0073633	DB00243
rasagiline	134748	N04BD02	Anti-parkinson drugs	11.59	C0525678	DB01367
rasburicase	283821	V03AF07	All other therapeutic products	655.06	C0937932	DB00049
reboxetine	60842	N06AX18	Psychoanaleptics	NA	C0168388	DB00234
regorafenib	1312397	L01XE21	Antineoplastic agents	355.88	C2980094	DB08896
regular insulin, human	253182	A10AD01	Drugs used in diabetes	NA	C0795635	DB00030
remifentanil	73032	N01AH06	Anesthetics	NA	C0246631	DB00899
remoxipride	35350	N05AL04	Psycholeptics	NA	C0073047	DB00409
repaglinide	73044	A10BX02	Drugs used in diabetes	6.32	C0246689	DB00912
rescinnamine	9259	C02AA01	Antihypertensives	NA	C0035167	DB01180
reserpine	9260	C02AA02	Antihypertensives	0.8	C0035179	DB00206
retapamulin	642274	D06AX13	Antibiotics and chemotherapeutics for dermatological use	8.85	C1703334	DB01256
reteplase	76895	B01AD07	Antithrombotic agents	NA	C0256103	DB00015
rho(d) immune globulin	35465	J06BB01	Immune sera and immunoglobulins	NA	C0073188	NA
ribavirin	9344	J05AB04	Antivirals for systemic use	20.34	C0035525	DB00811
rifabutin	55672	J04AB04	Antimycobacterials	19.91	C0140575	DB00615
rifampin	9384	J04AB02	Antimycobacterials	2.79	C0035608	DB01045
rifapentine	35617	J04AB05	Antimycobacterials	3.56	C0073372	DB01201
rifaximin	35619	A07AA11	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	32.58	C0073374	DB01220
rilpivirine	1102270	J05AG05	Antivirals for systemic use	22.83	C1566826	DB08864
riluzole	35623	N07XX02	Other nervous system drugs	30.61	C0073379	DB00740
rimantadine	9386	J05AC02	Antivirals for systemic use	2.62	C0035629	DB00478
rimexolone	55681	S01BA13	Ophthalmologicals	2.15	C0140594	DB00896
risedronate	73056	M05BA07	Drugs for treatment of bone diseases	3.42	C0246719	DB00884
risperidone	35636	N05AX08	Psycholeptics	3.18	C0073393	DB00734
ritodrine	9392	G02CA01	Other gynecologicals	NA	C0035661	DB00867
ritonavir	85762	J05AE03	Antivirals for systemic use	14.35	C0292818	DB00503
rituximab	121191	L01XC02	Antineoplastic agents	418.23	C0393022	DB00073
rivaroxaban	1114195	B01AF01	Antithrombotic agents	9.13	C1739768	DB06228
rivastigmine	183379	N06DA03	Psychoanaleptics	7.54	C0649350	DB00989
rizatriptan	88014	N02CC04	Analgesics	18.17	C0297635	DB00953
rofecoxib	232158	M01AH02	Anti-inflammatory and antirheumatic products	0	C0762662	NA
roflumilast	1091836	R03DX07	Drugs for obstructive airway diseases	6.42	C0965618	DB01656
rolitetracycline	9462	J01AA09	Antibacterials for systemic use	NA	C0035823	DB01301
ropinirole	72302	N04BC04	Anti-parkinson drugs	1.76	C0244821	DB00268
ropivacaine	35780	N01BB09	Anesthetics	17.28	C0073571	DB00296
rosiglitazone	84108	A10BG02	Drugs used in diabetes	5	C0289313	DB00412
rosoxacin	35797	J01MB01	Antibacterials for systemic use	NA	C0073591	DB00817
rosuvastatin	301542	C10AA07	Lipid modifying agents	4.09	C0965129	DB01098
rotigotine	616739	N04BC09	Anti-parkinson drugs	11.19	C1700683	DB05271
roxithromycin	9478	J01FA06	Antibacterials for systemic use	NA	C0035891	DB00778
rufinamide	69036	N03AF03	Antiepileptics	28.98	C0213404	DB06201
salicylamide	9518	N02BA05	Analgesics	2.47	C0036071	DB08797
salicylic acid	9525	D01AE12	Antifungals for dermatological use	4.45	C0036079	DB00936
salmeterol	36117	R03AC12	Drugs for obstructive airway diseases	6.82	C0073992	DB00938
salmon calcitonin	36118	H05BA01	Calcium homeostasis	NA	C0073994	DB00017
salsalate	36108	N02BA06	Analgesics	0.77	C0073983	DB01399
sapropterin	753340	A16AX07	Other alimentary tract and metabolism products	298.59	C0048897	DB00360
saquinavir	83395	J05AE01	Antivirals for systemic use	25.19	C0286738	DB01232
sargramostim	69634	L03AA09	Immunostimulants	176.63	C0216231	DB00020
saxagliptin	857974	A10BH03	Drugs used in diabetes	7.49	C1611934	DB06335
scopolamine	9601	A04AD01	Antiemetics and antinauseants	4.08	C0036442	DB00747
secobarbital	9624	N05CA06	Psycholeptics	16.36	C0036516	DB00418
secretin	9627	V04CK01	Diagnostic agents	20.52	C0036534	DB00021
selegiline	9639	N04BD01	Anti-parkinson drugs	8.33	C0036579	DB01037
selenium sulfide	36345	D01AE13	Antifungals for dermatological use	0.91	C0074281	DB00971
sermorelin	56188	H01AC04	Pituitary and hypothalamic hormones and analogues	20.81	C0142046	DB00010
sertaconazole	36435	D01AC14	Antifungals for dermatological use	6.7	C0074391	DB01153
sertindole	41996	N05AE03	Psycholeptics	NA	C0084528	DB06144
sertraline	36437	N06AB06	Psychoanaleptics	0.56	C0074393	DB01104
sevelamer	214824	V03AE02	All other therapeutic products	17.4	C0718050	DB00658
sevoflurane	36453	N01AB08	Anesthetics	34.46	C0074414	DB01236
sibutramine	36514	A08AA10	Antiobesity preparations, excluding diet products	3.81	C0074493	DB01105
sildenafil	136411	G04BE03	Urologicals	11.03	C0529793	DB00203
silodosin	720825	G04CA04	Urologicals	4.23	C1870115	DB06207
silver sulfadiazine	9793	D06BA01	Antibiotics and chemotherapeutics for dermatological use	0.91	C0037134	DB05245
simeprevir	1482790	J05AE14	Antivirals for systemic use	795.3	C2605855	DB06290
simvastatin	36567	C10AA01	Lipid modifying agents	0.87	C0074554	DB00641
sinecatechins	753346	D06BB12	Antibiotics and chemotherapeutics for dermatological use	33.23	C1960121	DB01266
sirolimus	35302	L04AA10	Immunosuppressants	24.88	C0072980	DB00877
sitagliptin	593411	A10BH01	Drugs used in diabetes	6.67	C1565750	DB01261
sodium citrate	56466	B05CB02	Blood substitutes and perfusion solutions	0.88	C0142825	DB09154
sodium oxybate	9899	N01AX11	Anesthetics	129.49	C0037537	DB09072
sodium phosphate	36709	A06AD17	Drugs for constipation	2.87	C0074757	DB09449
sodium polystyrene sulfonate	56512	V03AE01	All other therapeutic products	7.21	C0142915	NA
sodium stibogluconate	8010	P01CB02	Antiprotozoals	NA	C0030895	DB05630
sodium sulfate	36721	A06AD13	Drugs for constipation	52.33	C0074769	DB09472
sodium tetradecyl sulfate	9913	C05BB04	Vasoprotectives	37.73	C0037556	DB00464
sofosbuvir	1484911	J05AX15	Antivirals for systemic use	1021.87	C3530148	NA
solifenacin	322167	G04BD08	Urologicals	4.99	C1099677	DB01591
somatropin	61148	H01AC01	Pituitary and hypothalamic hormones and analogues	105.59	C0169964	DB00052
sorafenib	495881	L01XE05	Antineoplastic agents	204.65	C1516119	DB00398
sotalol	9947	C07AA07	Beta blocking agents	0.76	C0037707	DB00489
sparfloxacin	18469	J01MA09	Antibacterials for systemic use	NA	C0052585	DB01208
spectinomycin	270	J01XX04	Antibacterials for systemic use	NA	C0001268	DB00919
spinosad	299081	NA	NA	65.81	C0961781	DB08823
spirapril	36908	C09AA11	Agents acting on the renin-angiotensin system	NA	C0075007	DB01348
spironolactone	9997	C03DA01	Diuretics	0.49	C0037982	DB00421
stannous fluoride	10030	A01AA04	Stomatological preparations	0.54	C0038143	DB11092
stanozolol	10032	A14AA02	Anabolic agents for systemic use	4.02	C0038149	DB06718
stavudine	59763	J05AF04	Antivirals for systemic use	7.69	C0164662	DB00649
streptokinase	10106	B01AD01	Antithrombotic agents	0.64	C0038418	DB00086
streptomycin	10109	J01GA01	Antibacterials for systemic use	3.77	C0038425	DB01082
streptozocin	10114	L01AD04	Antineoplastic agents	62.46	C0038432	DB00428
succimer	3446	V09CA02	Diagnostic radiopharmaceuticals	19.44	C0012384	DB00566
sucralfate	10156	A02BX02	Drugs for acid related disorders	2.78	C0038633	DB00364
sufentanil	56795	N01AH03	Anesthetics	852.54	C0143993	DB00708
sulconazole	37319	D01AC09	Antifungals for dermatological use	3.76	C0075503	DB06820
sulfacetamide	10169	S01AB04	Ophthalmologicals	3.12	C0038670	DB00634
sulfadiazine	10171	J01EC02	Antibacterials for systemic use	9.3	C0038675	DB00359
sulfadimethoxine	10172	J01ED01	Antibacterials for systemic use	NA	C0038676	DB06150
sulfamerazine	10176	D06BA06	Antibiotics and chemotherapeutics for dermatological use	2.25	C0038684	DB01581
sulfamethizole	10179	S01AB01	Ophthalmologicals	NA	C0038687	DB00576
sulfamethoxazole	10180	J01EC01	Antibacterials for systemic use	0.61	C0038689	DB01015
sulfamoxole	10183	J01EC03	Antibacterials for systemic use	NA	C0038700	DB08798
sulfanilamide	10184	J01EB06	Antibacterials for systemic use	7.84	C0038702	DB00259
sulfapyridine	10188	J01EB04	Antibacterials for systemic use	1.65	C0038710	DB00891
sulfasalazine	9524	A07EC01	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	0.79	C0036078	DB00795
sulfathiazole	10193	D06BA02	Antibiotics and chemotherapeutics for dermatological use	0.26	C0038722	DB06147
sulfinpyrazone	10205	M04AB02	Antigout preparations	0	C0038742	DB01138
sulfisoxazole	10207	J01EB05	Antibacterials for systemic use	2.06	C0038745	DB00263
sulfisoxazole	10207	J01EB05	Antibacterials for systemic use	2.06	C0038745	DB08798
sulfonated phenol	236718	NA	NA	NA	C0772023	NA
sulfur	10223	D10AB02	Anti-acne preparations	3.84	C0038774	DB09353
sulindac	10237	M01AB02	Anti-inflammatory and antirheumatic products	0.56	C0038792	DB00605
sulpiride	10239	N05AL01	Psycholeptics	NA	C0038803	DB00391
sumatriptan	37418	N02CC01	Analgesics	11.87	C0075632	DB00669
sunitinib	357977	L01XE04	Antineoplastic agents	216.12	C1176020	DB01268
suprofen	10255	M01AE07	Anti-inflammatory and antirheumatic products	NA	C0038878	DB00870
synthetic conjugated estrogens, a	253166	G03CA57	Sex hormones and modulators of the genital system	NA	C0795604	DB09317
synthetic conjugated estrogens, b	618365	G03CA57	Sex hormones and modulators of the genital system	NA	C1699236	DB09318
tacrine	10318	N06DA01	Psychoanaleptics	10.2	C0039245	NA
tacrolimus	42316	L04AD02	Immunosuppressants	13.8	C0085149	DB00864
tadalafil	358263	G04BE08	Urologicals	10.09	C1176316	DB00820
tafluprost	1244607	S01EE05	Ophthalmologicals	3.46	C1451502	DB08819
talbutal	89810	N05CA07	Psycholeptics	NA	C0301407	DB00306
tamoxifen	10324	L02BA01	Endocrine therapy	0.57	C0039286	DB00675
tamsulosin	77492	G04CA02	Urologicals	1.66	C0257343	DB00706
tapentadol	787390	N02AX06	Analgesics	11.39	C2001271	DB06204
tazarotene	83947	D05AX05	Antipsoriatics	11.09	C0288792	DB00799
tazobactam	37617	J01CG02	Antibacterials for systemic use	67.91	C0075870	DB01606
tegaserod	139778	A06AX06	Drugs for constipation	6.03	C0537147	NA
teicoplanin	57021	J01XA02	Antibacterials for systemic use	NA	C0145106	DB06149
telaprevir	1102261	J05AE11	Antivirals for systemic use	596.33	C1876229	DB05521
telbivudine	474128	J05AF11	Antivirals for systemic use	20.99	C1453933	DB01265
telithromycin	274786	J01FA15	Antibacterials for systemic use	10.33	C0907410	DB00976
telmisartan	73494	C09CA07	Agents acting on the renin-angiotensin system	2.86	C0248719	DB00966
temafloxacin	37771	J01MA05	Antibacterials for systemic use	NA	C0076075	NA
temazepam	10355	N05CD07	Psycholeptics	0.55	C0039468	DB00231
temozolomide	37776	L01AX03	Antineoplastic agents	208.37	C0076080	DB00853
temsirolimus	657797	L01XE09	Antineoplastic agents	388.58	C1707080	DB06287
tenecteplase	259280	B01AD11	Antithrombotic agents	NA	C0872913	DB00031
teniposide	10362	L01CB02	Antineoplastic agents	NA	C0039512	DB00444
tenofovir disoproxil	300195	J05AF07	Antivirals for systemic use	40.97	C0963398	NA
tenoxicam	37790	M01AC02	Anti-inflammatory and antirheumatic products	NA	C0076096	DB00469
terazosin	37798	G04CA03	Urologicals	0.29	C0076107	DB01162
terbinafine	37801	D01BA02	Antifungals for dermatological use	1.72	C0076110	DB00857
terbutaline	10368	R03CC03	Drugs for obstructive airway diseases	1.66	C0039542	DB00871
terconazole	37806	G01AG02	Gynecological antiinfectives and antiseptics	6	C0076115	DB00251
terfenadine	42330	R06AX12	Antihistamines for systemic use	NA	C0085173	NA
teriflunomide	1310520	L04AA31	Immunosuppressants	153.75	C1718383	DB08880
teriparatide	32915	H05AA02	Calcium homeostasis	34.83	C0070093	DB06285
terlipressin	57048	H01BA04	Pituitary and hypothalamic hormones and analogues	NA	C0145185	DB02638
testosterone	10379	G03BA03	Sex hormones and modulators of the genital system	8.66	C0039601	DB00624
tetrabenazine	10390	N07XX06	Other nervous system drugs	177.12	C0039623	DB04844
tetracycline	10395	D06AA04	Antibiotics and chemotherapeutics for dermatological use	2.16	C0039644	DB00759
tetrahydrocannabinol	10402	A04AD10	Antiemetics and antinauseants	NA	C0039663	DB00470
thalidomide	10432	L04AX02	Immunosuppressants	196.09	C0039736	DB01041
theobromine	10437	C03BD01	Diuretics	1.93	C0039763	DB01412
theophylline	10438	R03DA04	Drugs for obstructive airway diseases	0.8	C0039771	DB00277
thiamphenicol	10463	J01BA02	Antibacterials for systemic use	NA	C0039854	NA
thiethylperazine	10471	R06AD03	Antihistamines for systemic use	NA	C0039865	NA
thiopental	10493	N05CA19	Psycholeptics	9.06	C0039925	DB00599
thioproperazine	10498	N05AB08	Psycholeptics	NA	C0039936	DB01622
thioridazine	10502	N05AC02	Psycholeptics	0.52	C0039943	DB00679
thiotepa	10473	L01AC01	Antineoplastic agents	42.39	C0039871	DB04572
thiothixene	10510	N05AF04	Psycholeptics	3.62	C0039955	DB01623
thonzonium	237058	NA	NA	NA	C0772395	NA
thyroid (usp)	10572	H03AA05	Thyroid therapy	NA	C0040134	NA
thyrotropin alfa	4952	H01AB01	Pituitary and hypothalamic hormones and analogues	795.5	C2587204	DB00024
thyroxine	10582	H03AA01	Thyroid therapy	0.32	C0040165	DB00451
tiagabine	31914	N03AG06	Antiepileptics	10.6	C0068897	DB00906
ticagrelor	1116632	B01AC24	Antithrombotic agents	7.84	C1999375	DB08816
ticarcillin	10591	J01CA13	Antibacterials for systemic use	44.27	C0040193	DB01607
ticlopidine	10594	B01AC05	Antithrombotic agents	1.15	C0040207	DB00208
tigecycline	384455	J01AA12	Antibacterials for systemic use	154.89	C1260298	DB00560
timolol	10600	C07AA06	Beta blocking agents	1.88	C0040233	DB00373
tinidazole	10612	J01XD02	Antibacterials for systemic use	20.03	C0040263	DB00911
tinzaparin	69646	B01AB10	Antithrombotic agents	55.78	C0216278	DB06822
tioconazole	38298	G01AF08	Gynecological antiinfectives and antiseptics	7.85	C0076705	DB01007
tiopronin	6765	R05CB12	Cough and cold preparations	20.02	C0025405	DB06823
tiotropium	69120	R03BB04	Drugs for obstructive airway diseases	6.54	C0213771	DB01409
tipranavir	190548	J05AE09	Antivirals for systemic use	32.4	C0663733	DB00932
tirofiban	73137	B01AC17	Antithrombotic agents	NA	C0247025	DB00775
tizanidine	57258	M03BX02	Muscle relaxants	1.31	C0146011	DB00697
tobramycin	10627	J01GB01	Antibacterials for systemic use	7.41	C0040341	DB00684
tocainide	42359	C01BB03	Cardiac therapy	NA	C0085237	DB01056
tocilizumab	612865	L04AC07	Immunosuppressants	63.84	C1609165	DB06273
tofacitinib	1357536	L04AA29	Immunosuppressants	74.66	C2930696	DB08895
tofisopam	38365	N05BA23	Psycholeptics	NA	C0076784	DB08811
tolazamide	10633	A10BB05	Drugs used in diabetes	0.21	C0040372	DB00839
tolazoline	10634	M02AX02	Topical products for joint and muscular pain	NA	C0040373	DB00797
tolbutamide	10635	A10BB03	Drugs used in diabetes	0.58	C0040374	DB01124
tolcapone	72937	N04BX01	Anti-parkinson drugs	35.33	C0246330	DB00323
tolmetin	10636	M01AB03	Anti-inflammatory and antirheumatic products	2.65	C0040377	DB00500
tolnaftate	10637	D01AE18	Antifungals for dermatological use	0.39	C0040379	DB00525
tolrestat	38386	A10XA01	Drugs used in diabetes	NA	C0076808	NA
tolterodine	119565	G04BD07	Urologicals	4.15	C0388753	DB01036
topiramate	38404	N03AX11	Antiepileptics	3.12	C0076829	DB00273
topotecan	57308	L01XX17	Antineoplastic agents	346.91	C0146224	DB01030
toremifene	38409	L02BA02	Endocrine therapy	20.85	C0076836	DB00539
torsemide	38413	C03CA04	Diuretics	0.68	C0076840	DB00214
tramadol	10689	N02AX02	Analgesics	1.07	C0040610	DB00193
trandolapril	38454	C09AA10	Agents acting on the renin-angiotensin system	1.85	C0076891	DB00519
tranexamic acid	10691	B02AA02	Antihemorrhagics	22.31	C0040613	DB00302
tranylcypromine	10734	N06AF04	Psychoanaleptics	6.17	C0040778	DB00752
trastuzumab	224905	L01XC03	Antineoplastic agents	279.46	C0728747	DB00072
travoprost	283809	S01EE04	Ophthalmologicals	3.82	C0937916	DB00287
trazodone	10737	N06AX05	Psychoanaleptics	0.22	C0040805	DB00656
treprostinil	343048	B01AC21	Antithrombotic agents	477.54	C1145760	DB00374
tretinoin	10753	L01XX14	Antineoplastic agents	6.12	C0040845	DB00755
triamcinolone	10759	R01AD11	Nasal preparations	1.68	C0040864	DB00620
triamterene	10763	C03DB02	Diuretics	0.2	C0040869	DB00384
triazolam	10767	N05CD05	Psycholeptics	0.82	C0040879	DB00897
trichlormethiazide	10772	C03AA06	Diuretics	0.98	C0040899	DB01021
triclosan	10795	D08AE04	Antiseptics and disinfectants	0.19	C0040958	DB08604
tridihexethyl	38617	A03AB08	Drugs for functional gastrointestinal disorders	NA	C0077081	NA
trientine	10798	A16AX12	Other alimentary tract and metabolism products	162.52	C0040976	DB06824
trifluoperazine	10800	N05AB06	Psycholeptics	0.99	C0040979	DB00831
triflupromazine	10805	N05AA05	Psycholeptics	NA	C0040989	DB00508
trifluridine	10803	S01AD02	Ophthalmologicals	8.04	C0040987	DB00432
triflusal	38655	B01AC18	Antithrombotic agents	NA	C0077126	DB08814
trihexyphenidyl	10811	N04AA01	Anti-parkinson drugs	0.34	C0041009	DB00376
triiodothyronine	10814	H03AA02	Thyroid therapy	NA	C0041014	DB00279
trilostane	38668	H02CA01	Corticosteroids for systemic use	NA	C0077144	DB01108
trimethadione	10827	N03AC02	Antiepileptics	NA	C0041038	DB00347
trimethobenzamide	38685	R06AA10	Antihistamines for systemic use	3.5	C0077163	DB00662
trimethoprim	10829	J01EA01	Antibacterials for systemic use	0.61	C0041041	DB00440
trimetrexate	42333	P01AX07	Antiprotozoals	NA	C0085176	DB01157
trimipramine	10834	N06AA06	Psychoanaleptics	5.83	C0041056	DB00726
tripelennamine	10847	D04AA04	Antipruritics, including antihistamines, anesthetics, etc.	3.2	C0041090	DB00792
triprolidine	10849	R06AX07	Antihistamines for systemic use	3.19	C0041098	DB00427
troglitazone	72610	A10BG01	Drugs used in diabetes	NA	C0245514	NA
troleandomycin	10864	J01FA08	Antibacterials for systemic use	0	C0041165	DB01361
tropicamide	10869	S01FA06	Ophthalmologicals	0.95	C0041190	DB00809
trospium	236778	G04BD09	Urologicals	3.98	C0772089	DB00209
trovafloxacin	115552	J01MA13	Antibacterials for systemic use	NA	C0379881	DB00685
trypsin	10890	B06AA07	Other hematological agents	4.89	C0041236	NA
tubocurarine	10917	M03AA02	Muscle relaxants	NA	C0041345	DB01199
